texte;ents_str;ents_idx
La tarte aux pommes maison est un grand classique de la pâtisserie;['tarte aux pommes', 'pâtisserie'];[(3, 19), (56, 66)]
Les rouleaux de printemps aux crevettes et aux légumes sont une option saine pour un déjeuner léger;['rouleaux de printemps', 'crevettes', 'légumes', 'déjeuner léger'];[(4, 25), (30, 39), (47, 54), (85, 99)]
Les brochettes de porc et d'ananas sont parfaites pour les barbecues d'été;"['brochettes', 'porc', 'ananas', ""barbecues d'été""]";[(4, 14), (18, 22), (28, 34), (59, 74)]
Le chili con carne est un plat épicé pour les amateurs de viande;['chili con carne', 'épicé', 'amateurs de viande'];[(3, 18), (31, 36), (46, 64)]
Les cookies aux pépites de chocolat et aux noix sont un goûter délicieux;['cookies', 'pépites de chocolat', 'noix', 'goûter'];[(4, 11), (16, 35), (43, 47), (56, 62)]
Les lasagnes à la bolognaise sont une option savoureuse pour un dîner de famille;['lasagnes', 'bolognaise', 'dîner de famille'];[(4, 12), (18, 28), (64, 80)]
Le risotto aux fruits de mer est une option sophistiquée pour un dîner spécial;['risotto', 'fruits de mer', 'dîner spécial'];[(3, 10), (15, 28), (65, 78)]
Les pommes de terre gratinées et la viande rôtie sont un classique de la cuisine comfort food;['pommes de terre gratinées', 'viande rôtie', 'comfort food'];[(4, 29), (36, 48), (81, 93)]
La tarte au citron meringuée est un dessert frais et acidulé;['tarte au citron meringuée', 'dessert frais'];[(3, 28), (36, 49)]
Les rouleaux de sushi au saumon sont une option saine pour un déjeuner raffiné;['rouleaux de sushi', 'saumon', 'déjeuner raffiné'];[(4, 21), (25, 31), (62, 78)]
Le filet de tilapia et le riz sont une option saine pour un dîner rapide;['filet de tilapia', 'riz', 'dîner rapide'];[(3, 19), (26, 29), (60, 72)]
Les burritos au riz et aux haricots sont une option végétalienne pour le déjeuner;['burritos', 'riz', 'haricots', 'végétalienne', 'déjeuner'];[(4, 12), (16, 19), (27, 35), (52, 64), (73, 81)]
Les crabcakes accompagnés de salade de chou sont une option sophistiquée pour un dîner élégant;['crabcakes', 'salade de chou', 'sophistiquée', 'dîner élégant'];[(4, 13), (29, 43), (60, 72), (81, 94)]
Les boulettes de viande suédoises avec purée de pommes de terre sont un plat classique suédois;['boulettes de viande suédoises', 'purée de pommes de terre', 'plat classique'];[(4, 33), (39, 63), (72, 86)]
La mousse au chocolat est un dessert riche et onctueux;['mousse au chocolat', 'dessert riche'];[(3, 21), (29, 42)]
Les wraps au poulet et aux légumes sont une option saine et facile pour le déjeuner;['wraps', 'poulet', 'légumes', 'saine', 'déjeuner facile'];[(4, 9), (13, 19), (27, 34), (51, 56)]
Le poulet tandoori accompagné de riz basmati est une option épicée et savoureuse;['poulet tandoori', 'riz basmati', 'épicée', 'savoureuse'];[(3, 18), (33, 44), (60, 66), (70, 80)]
Les rouleaux de printemps aux crevettes sont une option saine pour un déjeuner léger;['rouleaux de printemps', 'crevettes', 'saine', 'déjeuner léger'];[(4, 25), (30, 39), (56, 61), (70, 84)]
Le ceviche de poisson est une option fraîche et savoureuse pour un dîner d'été;"['ceviche de poisson', 'fraîche', 'savoureuse', ""dîner d'été""]";[(3, 21), (37, 44), (48, 58), (67, 78)]
Les gnocchis de pommes de terre avec sauce au pesto sont un plat italien classique;['gnocchis de pommes de terre', 'sauce au pesto', 'plat italien classique'];[(4, 31), (37, 51), (60, 82)]
Les pizzas aux légumes grillés sont une option délicieuse pour les végétariens;['pizzas', 'légumes grillés', 'délicieuse', 'végétariens'];[(4, 10), (15, 30), (47, 57), (67, 78)]
Le sauté de poulet aux légumes est une option rapide et facile pour le dîner;['sauté de poulet', 'légumes', 'rapide', 'facile', 'dîner'];[(3, 18), (23, 30), (46, 52), (56, 62), (71, 76)]
Les barres de céréales aux fruits secs sont un snack sain;['barres de céréales', 'fruits secs', 'snack sain'];[(4, 22), (27, 38), (47, 57)]
Les piments farcis à la viande sont une option copieuse pour le déjeuner;['piments farcis', 'viande', 'copieuse', 'déjeuner'];[(4, 18), (24, 30), (47, 55), (64, 72)]
La salade de tomates et de mozzarella est une option fraîche pour un déjeuner d'été;"['salade de tomates', 'mozzarella', 'fraîche', ""déjeuner d'été""]";[(3, 20), (27, 37), (53, 60), (69, 83)]
Les cakes pops au citron et à la vanille sont un dessert amusant et ludique;['cakes pops', 'citron', 'vanille', 'dessert amusant', 'ludique'];[(4, 14), (18, 24), (33, 40), (49, 64), (68, 75)]
La soupe miso aux pâtes soba et aux champignons est un plat japonais délicieux;['soupe miso', 'pâtes soba', 'champignons', 'plat japonais délicieux'];[(3, 13), (18, 28), (36, 47), (55, 78)]
Les brochettes de poulet et de fruits sont une option sucrée et salée pour le barbecue;['brochettes', 'poulet', 'fruits', 'sucrée', 'salée', 'barbecue'];[(4, 14), (18, 24), (31, 37), (54, 60), (64, 69), (78, 86)]
Les fajitas aux poivrons et à l'oignon sont une option savoureuse pour le dîner;['fajitas', 'poivrons', 'oignon', 'savoureuse', 'dîner'];[(4, 11), (16, 24), (32, 38), (55, 65), (74, 79)]
Les poivrons grillés farcis aux haricots et au riz sont une option végétalienne saine;['poivrons grillés farcis', 'haricots', 'riz', 'végétalienne', 'saine'];[(4, 27), (32, 40), (47, 50), (67, 79), (80, 85)]
Le gratin de chou-fleur est une option confort food pour les journées d'hiver;"['gratin de chou-fleur', 'comfort food', ""journées d'hiver""]";[(3, 23), (61, 77)]
Les aubergines grillées farcies à la viande et aux herbes sont une option sophistiquée pour un dîner spécial;['aubergines grillées farcies', 'viande', 'herbes', 'sophistiquée', 'dîner spécial'];[(4, 31), (37, 43), (51, 57), (74, 86), (95, 108)]
Le couscous aux légumes est une option saine et savoureuse pour un déjeuner léger;['couscous', 'légumes', 'saine', 'savoureuse', 'déjeuner léger'];[(3, 11), (16, 23), (39, 44), (48, 58), (67, 81)]
Les smoothies à la banane et aux fraises sont une option rafraîchissante pour le petit déjeuner;['smoothies', 'banane', 'fraises', 'rafraîchissante', 'petit déjeuner'];[(4, 13), (19, 25), (33, 40), (57, 72), (81, 95)]
Les biscuits aux pépites de chocolat et aux noix de pécan sont un snack délicieux;['biscuits', 'pépites de chocolat', 'noix de pécan', 'snack délicieux'];[(4, 12), (17, 36), (44, 57), (66, 81)]
La salade niçoise est une option légère et savoureuse pour un déjeuner d'été;"['salade niçoise', 'légère', 'savoureuse', ""déjeuner d'été""]";[(3, 17), (33, 39), (43, 53), (62, 76)]
Les ailes de poulet chaudes au miel et à la moutarde sont une option épicée pour les amateurs de viande;['ailes de poulet chaudes', 'miel', 'moutarde', 'épicée', 'amateurs de viande'];[(4, 27), (31, 35), (44, 52), (69, 75), (85, 103)]
Les tartelettes aux fraises et à la crème pâtissière sont un dessert raffiné;['tartelettes', 'fraises', 'crème pâtissière', 'dessert raffiné'];[(4, 15), (20, 27), (36, 52), (61, 76)]
Les muffins anglais au bacon et aux œufs sont un petit déjeuner copieux;['muffins anglais', 'bacon', 'œufs', 'petit déjeuner copieux'];[(4, 19), (23, 28), (36, 40), (49, 71)]
Les roulés d'aubergines et de viande hachée sont une option savoureuse pour le dîner;"[""roulés d'aubergines"", 'viande hachée', 'savoureuse', 'dîner']";[(4, 23), (30, 43), (60, 70), (79, 84)]
Les scones aux raisins et à la cannelle sont un goûter traditionnel;['scones', 'raisins', 'cannelle', 'goûter traditionnel'];[(4, 10), (15, 22), (31, 39), (48, 67)]
Les tostadas aux crevettes et aux avocats sont une option saine et savoureuse pour le déjeuner;['tostadas', 'crevettes', 'avocats', 'saine', 'savoureuse', 'déjeuner'];[(4, 12), (17, 26), (34, 41), (58, 63), (67, 77), (86, 94)]
Le filet de saumon grillé avec sauce à l'aneth est une option délicate pour un déjeuner sophistiqué;"['filet de saumon grillé', ""sauce à l'aneth"", 'délicate', 'sophistiqué', 'déjeuner']";[(3, 25), (31, 46), (62, 70), (88, 99), (79, 87)]
Les brochettes de tofu et de légumes sont une option végétalienne saine;['brochettes', 'tofu', 'légumes', 'végétalienne', 'saine'];[(4, 14), (18, 22), (29, 36), (53, 65), (66, 71)]
Le gâteau à la carotte et à l'ananas est un dessert léger;['gâteau à la carotte', 'ananas', 'dessert léger'];[(3, 22), (30, 36), (44, 57)]
Les enchiladas au bœuf et aux haricots sont une option copieuse pour le dîner;['enchiladas', 'bœuf', 'haricots', 'copieuse', 'dîner'];[(4, 14), (18, 22), (30, 38), (55, 63), (72, 77)]
Le poulet curry au lait de coco est une option épicée pour un dîner;['poulet curry', 'lait de coco', 'épicée', 'dîner'];[(3, 15), (19, 31), (47, 53), (62, 67)]
Les spaghettis carbonara sont une option classique pour un dîner rapide;['spaghettis carbonara', 'classique', 'dîner rapide'];[(4, 24), (41, 50), (59, 71)]
Les muffins aux framboises et à la vanille sont un goûter parfait;['muffins', 'framboises', 'vanille', 'goûter parfait'];[(4, 11), (16, 26), (35, 42), (51, 65)]
Les légumes farcis de riz sont une option végétalienne saine;['légumes farcis', 'riz', 'végétalienne', 'saine'];[(4, 18), (22, 25), (42, 54), (55, 60)]
Les pancakes aux pommes et au sirop d'érable sont un petit déjeuner gourmand;"['pancakes', 'pommes', ""sirop d'érable"", 'petit déjeuner gourmand']";[(4, 12), (17, 23), (30, 44), (53, 76)]
Les brochettes de poulet et d'ananas sont une option rafraîchissante pour le déjeuner;['brochettes', 'poulet', 'ananas', 'rafraîchissante', 'déjeuner'];[(4, 14), (18, 24), (30, 36), (53, 68), (77, 85)]
Les spaghettis aux crevettes et à l'ail sont une option rapide et facile pour le dîner;['spaghettis', 'crevettes', 'ail', 'rapide', 'facile', 'dîner'];[(4, 14), (19, 28), (36, 39), (56, 62), (66, 72), (81, 86)]
Les crêpes aux fraises et à la chantilly sont un dessert croustillant;['crêpes', 'fraises', 'chantilly', 'dessert croustillant'];[(4, 10), (15, 22), (31, 40), (49, 69)]
Le sauté de crevettes et de légumes est une option saine et savoureuse pour le déjeuner ou le dîner;['sauté de crevettes', 'légumes', 'saine', 'savoureuse', 'déjeuner', 'dîner'];[(3, 21), (28, 35), (51, 56), (60, 70), (79, 87), (94, 99)]
Les croquettes de pommes de terre et de poisson sont une option copieuse pour le déjeuner;['croquettes', 'pommes de terre', 'poisson', 'copieuse', 'déjeuner'];[(4, 14), (18, 33), (40, 47), (64, 72), (81, 89)]
Les hamburgers végétariens aux champignons sont une option délicieuse pour les végétariens;['hamburgers végétariens', 'champignons', 'délicieuse', 'végétariens'];[(4, 26), (31, 42), (59, 69), (15, 26)]
Le gratin de pommes de terre et de saucisses est une option confort food pour le dîner;['gratin de pommes de terre', 'saucisses', 'confort food', 'dîner'];[(3, 28), (35, 44), (60, 72), (81, 86)]
Les tacos de bœuf et de poivrons sont une option facile pour le déjeuner;['tacos', 'bœuf', 'poivrons', 'facile', 'déjeuner'];[(4, 9), (13, 17), (24, 32), (49, 55), (64, 72)]
Les rouleaux de printemps aux légumes et aux crevettes sont une option saine et savoureuse pour le déjeuner;['rouleaux de printemps', 'légumes', 'crevettes', 'saine', 'savoureuse', 'déjeuner'];[(4, 25), (30, 37), (45, 54), (71, 76), (80, 90), (99, 107)]
Les boulettes de viande aux lentilles et aux herbes sont une option végétalienne saine;['boulettes de viande', 'lentilles', 'herbes', 'végétalienne', 'saine'];[(4, 23), (28, 37), (45, 51), (68, 80), (81, 86)]
L'odeur enivrante du café frais emplissait la pièce.;['café'];[(21, 25)]
Le beurre fondu se mélangeait parfaitement à la farine pour créer une pâte lisse.;['beurre', 'farine'];[(3, 9), (48, 54)]
L'huile d'olive créait une fine pellicule sur la surface de la soupe.;"[""huile d'olive"", 'soupe']";[(2, 15), (63, 68)]
Le vin rouge ajoutait une touche subtile à la sauce tomate maison.;['vin rouge', 'sauce tomate'];[(3, 12), (46, 58)]
Les tranches fines de poivre noir ajoutaient une saveur complexe à la viande.;['poivre noir', 'viande'];[(22, 33), (70, 76)]
Les œufs brouillés étaient légèrement baveux, exactement comme je les aime.;['œufs'];[(4, 8)]
La menthe fraîche ajoutait une touche rafraîchissante à la salade.;['menthe', 'salade'];[(3, 9), (59, 65)]
Les noix hachées croustillantes étaient parsemées sur le dessus de la tarte.;['noix', 'tarte'];[(4, 8), (70, 75)]
L'ail haché remplissait l'air de son arôme puissant.;['ail'];[(2, 5)]
La coriandre fraîche avait une saveur herbacée et légèrement citronnée.;['coriandre'];[(3, 12)]
Le chocolat fondu coulait lentement sur les fraises fraîches.;['chocolat', 'fraises'];[(3, 11), (44, 51)]
Les petits pois verts croquants étaient cuits à la vapeur et servis chauds.;['petits pois'];[(4, 15)]
Les tranches de citron acidulées étaient le complément parfait pour le poisson grillé.;['citron', 'poisson grillé'];[(16, 22), (71, 85)]
La sauce béarnaise riche et crémeuse était versée sur le steak juteux.;['sauce béarnaise', 'steak'];[(3, 18), (57, 62)]
Les raisins secs et les amandes grillées étaient mélangés à la salade croquante.;['raisins secs', 'amandes', 'salade'];[(4, 16), (24, 31), (63, 69)]
Les pommes de terre rôties étaient croquantes à l'extérieur et moelleuses à l'intérieur.;['pommes de terre'];[(4, 19)]
Les tomates cerises juteuses éclataient de saveur dans la bouche.;['tomates cerises'];[(4, 19)]
Les spaghettis al dente étaient servis avec une sauce tomate maison riche en saveurs.;['spaghettis', 'sauce tomate'];[(4, 14), (48, 60)]
La crème fraîche épaisse était mélangée à la soupe chaude et crémeuse.;['crème fraîche', 'soupe'];[(3, 16), (45, 50)]
Les tranches d'avocat mûr étaient douces et crémeuses sur une tartine croustillante.;['avocat', 'tartine'];[(15, 21), (62, 69)]
Les abricots juteux et sucrés étaient coupés en deux et servis en dessert.;['abricots'];[(4, 12)]
Les courgettes râpées étaient légèrement cuites et servies en accompagnement.;['courgettes'];[(4, 14)]
Les feuilles de basilic frais étaient utilisées pour garnir la pizza chaude et croustillante.;['basilic', 'pizza'];[(16, 23), (63, 68)]
Les échalotes caramélisées ajoutaient une touche de douceur à la tarte salée.;['échalotes', 'tarte salée'];[(4, 13), (65, 76)]
Les pommes aigres étaient pelées et coupées en tranches pour la tarte aux pommes.;['pommes', 'tarte aux pommes'];[(4, 10), (64, 80)]
Les feuilles de laurier séchées ajoutaient une touche d'amertume au ragoût mijoté.;['feuilles de laurier', 'ragoût'];[(4, 23), (68, 74)]
Les champignons sautés étaient parfaits pour garnir les omelettes moelleuses.;['champignons', 'omelettes'];[(4, 15), (56, 65)]
Les épices chaudes et parfumées remplissaient l'air alors que le pain d'épices sortait du four.;"['épices', ""pain d'épices""]";[(4, 10), (65, 78)]
Les pommes de terre douces étaient écrasées et mélangées avec du beurre et du lait pour créer une purée de pommes de terre lisse.;['pommes de terre douces', 'beurre', 'lait'];[(4, 26), (65, 71), (78, 82)]
Les tranches de concombre croquantes étaient servies avec une trempette crémeuse au yaourt.;['concombre', 'yaourt'];[(16, 25), (84, 90)]
La pâte à tarte fragile était étalée avec soin sur le plan de travail fariné.;['farine', 'pâte à tarte'];[(3, 15)]
Les câpres saumurées ajoutaient une légère acidité à la salade de thon.;['câpres', 'salade de thon'];[(4, 10), (56, 70)]
Les noix de muscade râpées imprégnaient le riz cuit de leur saveur parfumée.;['noix de muscade', 'riz'];[(4, 19), (43, 46)]
Le poulet entier était à peine doré, mais dégageait une odeur délicieuse alors qu'il cuisait lentement au four.;['poulet'];[(3, 9)]
Les raisins rouges sucrés étaient coupés en deux et ajoutés à la salade.;['raisins rouges', 'salade'];[(4, 18), (65, 71)]
Les carottes crues étaient croquantes et douces, parfaites pour les trempettes.;['carottes'];[(4, 12)]
Les cannellini chauds et moelleux étaient servis dans un bol avec des épinards frais et de l'ail grillé.;['cannellini', 'épinards', 'ail grillé'];[(4, 14), (70, 78), (93, 103)]
Les olives saumurées étaient mélangées avec des anchois salés pour une tapenade savoureuse.;['olives', 'anchois', 'tapenade'];[(4, 10), (48, 55), (71, 79)]
Les mûres sucrées et juteuses étaient cuites doucement pour faire une confiture parfaite.;['mûres', 'confiture'];[(4, 9), (70, 79)]
Les épinards frais étaient mélangés avec de l'ail et de l'huile d'olive pour une salade saine.;"['épinards', 'ail', ""huile d'olive""]";[(4, 12), (46, 49), (58, 71)]
Les oignons rouges croustillants étaient saupoudrés sur une pizza à la tomate chaude.;['oignons rouges', 'pizza à la tomate'];[(4, 18), (60, 77)]
Les éclats de noix de coco fraîchement râpée étaient saupoudrés sur le gâteau moelleux.;['noix de coco', 'gâteau'];[(14, 26), (71, 77)]
Les noix croquantes étaient éparpillées sur la glace à la vanille crémeuse.;['noix', 'glace à la vanille'];[(4, 8), (47, 65)]
Les poivrons rouges sucrés étaient cuits au four et remplis de farce savoureuse.;['poivrons rouges', 'farce'];[(4, 19), (63, 68)]
Le concombre frais était coupé en rondelles fines et ajouté à la salade.;['concombre', 'salade'];[(3, 12), (65, 71)]
Les crevettes sautées au beurre étaient parfaites pour servir sur le riz basmati.;['crevettes', 'beurre', 'riz basmati'];[(4, 13), (25, 31), (69, 80)]
Les piments rouges épicés étaient hachés finement et ajoutés à la soupe pour une touche de chaleur.;['piments rouges', 'soupe'];[(4, 18), (66, 71)]
Les morceaux de poisson frais étaient enveloppés de papier d'aluminium et cuits doucement au four.;"['poisson frais', ""papier d'aluminium""]";[(16, 29), (52, 70)]
Les herbes de Provence étaient mélangées avec de l'huile d'olive pour une marinade aromatique.;"['herbes de Provence', ""huile d'olive""]";[(4, 22), (51, 64)]
Les champignons portobello grillés étaient remplis de fromage fondu pour une entrée savoureuse.;['champignons portobello', 'fromage'];[(4, 26), (54, 61)]
Les fraises sucrées et juteuses étaient mélangées avec des framboises pour une salade de fruits colorée.;['fraises', 'framboises', 'salade de fruits'];[(4, 11), (59, 69), (79, 95)]
Les feuilles de sauge fraîches étaient ciselées pour aromatiser la polenta crémeuse.;['sauge', 'polenta'];[(16, 21), (67, 74)]
Les légumes rôtis à feu vif étaient parfaitement caramélisés et savoureux.;['légumes rôtis'];[(4, 17)]
Les tranches de pain de seigle foncé étaient grillées et beurrées à la perfection.;['pain de seigle', 'beurre'];[(16, 30)]
Les palourdes salées étaient sautées avec de l'ail et du vin blanc pour un plat de fruits de mer délicieux.;['palourdes', 'ail', 'vin blanc'];[(4, 13), (47, 50), (57, 66)]
La confiture de poire maison était tartinée sur du pain grillé pour le petit déjeuner.;['confiture de poire', 'pain grillé'];[(3, 21), (51, 62)]
Les amandes effilées étaient grillées et mélangées à la salade de roquette.;['amandes effilées', 'salade de roquette'];[(4, 20), (56, 74)]
Les côtelettes d'agneau étaient grillées à la perfection et servies avec une sauce à la menthe fraîche.;"[""côtelettes d'agneau"", 'sauce à la menthe']";[(4, 23), (77, 94)]
Les pépites de chocolat noir étaient incorporées dans la pâte pour des muffins moelleux.;['pépites de chocolat', 'pâte à muffin'];[(4, 23)]
Les noisettes grillées ajoutaient une texture croquante à la salade de fruits d'automne.;['noisettes grillées', 'salade de fruits'];[(4, 22), (61, 77)]
Les haricots blancs crémeux étaient mélangés à l'oignon rouge et à la vinaigrette pour une salade saine.;['haricots blancs', 'oignon rouge', 'vinaigrette'];[(4, 19), (49, 61), (70, 81)]
Les herbes fraîches étaient hachées finement et saupoudrées sur le poulet rôti chaud.;['herbes fraîches', 'poulet rôti'];[(4, 19), (67, 78)]
Les fruits de mer frais étaient cuits sur le gril avec du citron et de l'huile d'olive.;"['fruits de mer frais', 'citron', ""huile d'olive""]";[(4, 23), (58, 64), (73, 86)]
Les patates douces rôties étaient légèrement sucrées et savoureuses.;['patates douces'];[(4, 18)]
Les pétoncles dorés étaient servis sur une purée de céleri-rave veloutée.;['pétoncles', 'céleri-rave'];[(4, 13), (52, 63)]
Les feuilles de chou kale étaient hachées en fines lanières et ajoutées à la soupe.;['chou kale', 'soupe'];[(16, 25), (77, 82)]
Les crevettes fraîches étaient marinées dans du jus de lime et de l'ail pour une saveur intense.;['crevettes fraîches', 'jus de lime', 'ail'];[(4, 22), (48, 59), (68, 71)]
Les poivrons verts tranchés étaient fermentés pour faire des cornichons salés et épicés.;['poivrons verts', 'cornichons'];[(4, 18), (61, 71)]
Les lamelles de courgettes crues étaient marinées dans de l'huile d'olive et des herbes pour une salade délicieuse.;"['courgettes', ""huile d'olive"", 'herbes']";[(16, 26), (60, 73), (81, 87)]
Les brins de romarin frais étaient utilisés pour saupoudrer les pommes de terre rôties.;['romarin', 'pommes de terre rôties'];[(13, 20), (64, 86)]
Le fromage bleu crémeux était émietté sur la salade pour une saveur forte et piquante.;['fromage bleu', 'salade'];[(3, 15), (45, 51)]
Les morceaux de noix de pécan croustillants étaient mélangés à une sauce au caramel pour une garniture décadente pour les desserts.;['noix de pécan', 'sauce au caramel', 'desserts'];[(16, 29), (67, 83), (122, 130)]
Les carottes violettes étaient rôties avec de l'huile d'olive et de l'ail pour une touche de couleur et de saveur.;"['carottes violettes', ""huile d'olive"", 'ail']";[(4, 22), (48, 61), (70, 73)]
Les julienne de céleri-rave étaient ajoutées à une salade de pommes pour une texture croquante et une saveur unique.;['céleri-rave', 'salade de pommes'];[(16, 27), (51, 67)]
Les moitiés d'avocat étaient farcies d'œufs brouillés et mélangées avec du fromage râpé pour une entrée délicieuse.;['avocat', 'œufs brouillés', 'fromage râpé'];[(14, 20), (39, 53), (75, 87)]
Les herbes fraîches étaient utilisées pour aromatiser le saumon grillé.;['herbes fraîches', 'saumon grillé'];[(4, 19), (57, 70)]
Les pétales de rose cristallisés étaient saupoudrés sur les cupcakes pour ajouter une touche de romantisme.;['pétales de rose cristallisés', 'cupcakes'];[(4, 32), (60, 68)]
Les figues fraîches étaient coupées en quartiers et servies avec du fromage de chèvre pour une entrée sophistiquée.;['figues fraîches', 'fromage de chèvre'];[(4, 19), (68, 85)]
Les herbes fraîches étaient hachées et incorporées dans la sauce pour les pâtes pour une saveur fraîche et complexe.;['herbes fraîches', 'sauce pour les pâtes'];[(4, 19), (59, 79)]
Les tranches d'aubergine grillées étaient empilées avec du pesto et du fromage pour une entrée savoureuse.;['aubergine grillée', 'pesto', 'fromage'];[(15, 32), (59, 64), (71, 78)]
Les betteraves cuites étaient mélangées avec de la roquette et des noix pour une salade colorée et savoureuse.;['betteraves cuites', 'roquette', 'noix'];[(4, 21), (51, 59), (67, 71)]
Les morceaux de poulet étaient panés et frits jusqu'à ce qu'ils soient croustillants et dorés.;['poulet', 'panure'];[(16, 22)]
La vanille pure était incorporée dans la pâte à gâteau pour ajouter une saveur riche et sucrée.;['vanille', 'pâte à gâteau'];[(3, 10), (41, 54)]
